fecha_delito,num_delitos
2018-01-03,31
2018-01-04,18
2018-01-05,31
2018-01-06,25
2018-01-07,27
2018-01-08,34
2018-01-09,26
2018-01-10,21
2018-01-11,26
2018-01-12,24
2018-01-13,29
2018-01-14,26
2018-01-15,29
2018-01-16,29
2018-01-17,19
2018-01-18,24
2018-01-19,12
2018-01-20,22
2018-01-21,27
2018-01-22,30
2018-01-23,29
2018-01-24,23
2018-01-25,25
2018-01-26,25
2018-01-27,18
2018-01-28,28
2018-01-29,31
2018-01-30,23
2018-01-31,19
2018-02-01,17
2018-02-02,29
2018-02-03,33
2018-02-04,29
2018-02-05,21
2018-02-06,41
2018-02-07,23
2018-02-08,27
2018-02-09,25
2018-02-10,24
2018-02-11,26
2018-02-12,32
2018-02-13,26
2018-02-14,17
2018-02-15,17
2018-02-16,23
2018-02-17,40
2018-02-18,20
2018-02-19,31
2018-02-20,32
2018-02-21,24
2018-02-22,20
2018-02-23,19
2018-02-24,17
2018-02-25,31
2018-02-26,29
2018-02-27,35
2018-02-28,21
2018-03-01,27
2018-03-02,21
2018-03-03,25
2018-03-04,35
2018-03-05,27
2018-03-06,35
2018-03-07,19
2018-03-08,27
2018-03-09,18
2018-03-10,33
2018-03-11,45
2018-03-12,35
2018-03-13,29
2018-03-14,25
2018-03-15,31
2018-03-16,20
2018-03-17,25
2018-03-18,27
2018-03-19,36
2018-03-20,33
2018-03-21,26
2018-03-22,26
2018-03-23,35
2018-03-24,21
2018-03-25,42
2018-03-26,39
2018-03-27,36
2018-03-28,34
2018-03-29,24
2018-03-30,23
2018-03-31,36
2018-04-01,18
2018-04-02,22
2018-04-03,30
2018-04-04,20
2018-04-05,21
2018-04-06,24
2018-04-07,23
2018-04-08,20
2018-04-09,29
2018-04-10,23
2018-04-11,19
2018-04-12,22
2018-04-13,22
2018-04-14,32
2018-04-15,31
2018-04-16,29
2018-04-17,29
2018-04-18,23
2018-04-19,24
2018-04-20,32
2018-04-21,28
2018-04-22,34
2018-04-23,34
2018-04-24,36
2018-04-25,27
2018-04-26,20
2018-04-27,31
2018-04-28,32
2018-04-29,35
2018-04-30,29
2018-05-01,25
2018-05-02,25
2018-05-03,27
2018-05-04,20
2018-05-05,25
2018-05-06,27
2018-05-07,31
2018-05-08,37
2018-05-09,23
2018-05-10,25
2018-05-11,32
2018-05-12,16
2018-05-13,24
2018-05-14,37
2018-05-15,50
2018-05-16,21
2018-05-17,18
2018-05-18,24
2018-05-19,33
2018-05-20,31
2018-05-21,27
2018-05-22,31
2018-05-23,23
2018-05-24,34
2018-05-25,23
2018-05-26,24
2018-05-27,33
2018-05-28,32
2018-05-29,26
2018-05-30,22
2018-05-31,20
2018-06-01,26
2018-06-02,34
2018-06-03,30
2018-06-04,38
2018-06-05,22
2018-06-06,27
2018-06-07,29
2018-06-08,20
2018-06-09,16
2018-06-10,22
2018-06-11,22
2018-06-12,32
2018-06-13,26
2018-06-14,14
2018-06-15,12
2018-06-16,21
2018-06-17,17
2018-06-18,30
2018-06-19,39
2018-06-20,22
2018-06-21,23
2018-06-22,29
2018-06-23,31
2018-06-24,22
2018-06-25,30
2018-06-26,19
2018-06-27,21
2018-06-28,19
2018-06-29,25
2018-06-30,25
2018-07-01,30
2018-07-02,35
2018-07-03,19
2018-07-04,19
2018-07-05,25
2018-07-06,20
2018-07-07,30
2018-07-08,16
2018-07-09,38
2018-07-10,32
2018-07-11,22
2018-07-12,20
2018-07-13,21
2018-07-14,36
2018-07-15,27
2018-07-16,31
2018-07-17,26
2018-07-18,21
2018-07-19,20
2018-07-20,18
2018-07-21,17
2018-07-22,21
2018-07-23,28
2018-07-24,26
2018-07-25,17
2018-07-26,27
2018-07-27,25
2018-07-28,17
2018-07-29,23
2018-07-30,30
2018-07-31,31
2018-08-01,26
2018-08-02,28
2018-08-03,30
2018-08-04,31
2018-08-05,27
2018-08-06,30
2018-08-07,38
2018-08-08,24
2018-08-09,20
2018-08-10,34
2018-08-11,23
2018-08-12,24
2018-08-13,40
2018-08-14,32
2018-08-15,25
2018-08-16,27
2018-08-17,27
2018-08-18,23
2018-08-19,24
2018-08-20,34
2018-08-21,45
2018-08-22,25
2018-08-23,18
2018-08-24,17
2018-08-25,14
2018-08-26,29
2018-08-27,39
2018-08-28,33
2018-08-29,28
2018-08-30,23
2018-08-31,27
2018-09-01,19
2018-09-02,22
2018-09-03,31
2018-09-04,24
2018-09-05,30
2018-09-06,26
2018-09-07,22
2018-09-08,25
2018-09-09,35
2018-09-10,24
2018-09-11,36
2018-09-12,23
2018-09-13,22
2018-09-14,27
2018-09-15,21
2018-09-16,30
2018-09-17,34
2018-09-18,32
2018-09-19,18
2018-09-20,23
2018-09-21,23
2018-09-22,32
2018-09-23,30
2018-09-24,19
2018-09-25,22
2018-09-26,27
2018-09-27,27
2018-09-28,22
2018-09-29,17
2018-09-30,27
2018-10-01,24
2018-10-02,28
2018-10-03,22
2018-10-04,24
2018-10-05,20
2018-10-06,23
2018-10-07,32
2018-10-08,25
2018-10-09,24
2018-10-10,27
2018-10-11,28
2018-10-12,25
2018-10-13,23
2018-10-14,27
2018-10-15,35
2018-10-16,39
2018-10-17,70
2018-10-18,23
2018-10-19,25
2018-10-20,19
2018-10-21,25
2018-10-22,25
2018-10-23,20
2018-10-24,23
2018-10-25,30
2018-10-26,26
2018-10-27,30
2018-10-28,35
2018-10-29,44
2018-10-30,32
2018-10-31,31
2018-11-01,21
2018-11-02,20
2018-11-03,30
2018-11-04,28
2018-11-05,22
2018-11-06,17
2018-11-07,19
2018-11-08,19
2018-11-09,25
2018-11-10,20
2018-11-11,17
2018-11-12,23
2018-11-13,28
2018-11-14,22
2018-11-15,16
2018-11-16,32
2018-11-17,22
2018-11-18,21
2018-11-19,27
2018-11-20,34
2018-11-21,20
2018-11-22,29
2018-11-23,30
2018-11-24,30
2018-11-25,26
2018-11-26,27
2018-11-27,25
2018-11-28,24
2018-11-29,19
2018-11-30,29
2018-12-01,21
2018-12-02,37
2018-12-03,30
2018-12-04,22
2018-12-05,24
2018-12-06,16
2018-12-07,25
2018-12-08,28
2018-12-09,24
2018-12-10,38
2018-12-11,24
2018-12-12,34
2018-12-13,31
2018-12-14,20
2018-12-15,18
2018-12-16,34
2018-12-17,30
2018-12-18,38
2018-12-19,28
2018-12-20,30
2018-12-21,22
2018-12-22,32
2018-12-23,30
2018-12-24,33
2018-12-25,38
2018-12-26,25
2018-12-27,22
2018-12-28,24
2018-12-29,24
2018-12-30,27
2018-12-31,27
2019-01-01,33
2019-01-03,24
2019-01-04,17
2019-01-05,21
2019-01-06,23
2019-01-07,29
2019-01-08,18
2019-01-09,24
2019-01-10,18
2019-01-11,17
2019-01-12,27
2019-01-13,35
2019-01-14,23
2019-01-15,21
2019-01-16,24
2019-01-17,22
2019-01-18,27
2019-01-19,28
2019-01-20,29
2019-01-21,26
2019-01-22,32
2019-01-23,29
2019-01-24,25
2019-01-25,24
2019-01-26,34
2019-01-27,42
2019-01-28,34
2019-01-29,26
2019-01-30,26
2019-01-31,25
2019-02-01,26
2019-02-02,37
2019-02-03,38
2019-02-04,23
2019-02-05,36
2019-02-06,29
2019-02-07,22
2019-02-08,26
2019-02-09,22
2019-02-10,20
2019-02-11,27
2019-02-12,33
2019-02-13,34
2019-02-14,29
2019-02-15,25
2019-02-16,25
2019-02-17,22
2019-02-18,31
2019-02-19,31
2019-02-20,22
2019-02-21,23
2019-02-22,28
2019-02-23,22
2019-02-24,19
2019-02-25,28
2019-02-26,31
2019-02-27,35
2019-02-28,29
2019-03-01,26
2019-03-02,36
2019-03-03,24
2019-03-04,25
2019-03-05,25
2019-03-06,30
2019-03-07,25
2019-03-08,21
2019-03-09,25
2019-03-10,21
2019-03-11,31
2019-03-12,23
2019-03-13,32
2019-03-14,33
2019-03-15,22
2019-03-16,27
2019-03-17,29
2019-03-18,29
2019-03-19,17
2019-03-20,18
2019-03-21,22
2019-03-22,29
2019-03-23,25
2019-03-24,23
2019-03-25,12
2019-03-26,17
2019-03-27,17
2019-03-28,26
2019-03-29,27
2019-03-30,24
2019-03-31,31
2019-04-01,30
2019-04-02,26
2019-04-03,21
2019-04-04,19
2019-04-05,33
2019-04-06,25
2019-04-07,21
2019-04-08,44
2019-04-09,27
2019-04-10,29
2019-04-11,27
2019-04-12,26
2019-04-13,19
2019-04-14,24
2019-04-15,22
2019-04-16,26
2019-04-17,19
2019-04-18,21
2019-04-19,27
2019-04-20,17
2019-04-21,24
2019-04-22,23
2019-04-23,25
2019-04-24,17
2019-04-25,31
2019-04-26,27
2019-04-27,30
2019-04-28,29
2019-04-29,28
2019-04-30,30
2019-05-01,36
2019-05-02,21
2019-05-03,28
2019-05-04,20
2019-05-05,18
2019-05-06,30
2019-05-07,24
2019-05-08,18
2019-05-09,25
2019-05-10,28
2019-05-11,36
2019-05-12,27
2019-05-13,38
2019-05-14,23
2019-05-15,29
2019-05-16,23
2019-05-17,28
2019-05-18,23
2019-05-19,34
2019-05-20,32
2019-05-21,26
2019-05-22,30
2019-05-23,24
2019-05-24,28
2019-05-25,27
2019-05-26,29
2019-05-27,26
2019-05-28,38
2019-05-29,23
2019-05-30,19
2019-05-31,14
2019-06-01,30
2019-06-02,30
2019-06-03,36
2019-06-04,37
2019-06-05,23
2019-06-06,17
2019-06-07,24
2019-06-08,28
2019-06-09,21
2019-06-10,35
2019-06-11,42
2019-06-12,28
2019-06-13,19
2019-06-14,31
2019-06-15,19
2019-06-16,28
2019-06-17,26
2019-06-18,27
2019-06-19,24
2019-06-20,31
2019-06-21,31
2019-06-22,23
2019-06-23,33
2019-06-24,37
2019-06-25,32
2019-06-26,30
2019-06-27,28
2019-06-28,26
2019-06-29,28
2019-06-30,39
2019-07-01,26
2019-07-02,30
2019-07-03,37
2019-07-04,29
2019-07-05,19
2019-07-06,23
2019-07-07,26
2019-07-08,34
2019-07-09,37
2019-07-10,28
2019-07-11,19
2019-07-12,18
2019-07-13,25
2019-07-14,21
2019-07-15,42
2019-07-16,29
2019-07-17,16
2019-07-18,21
2019-07-19,20
2019-07-20,30
2019-07-21,23
2019-07-22,41
2019-07-23,37
2019-07-24,26
2019-07-25,20
2019-07-26,21
2019-07-27,22
2019-07-28,25
2019-07-29,39
2019-07-30,32
2019-07-31,28
2019-08-01,21
2019-08-02,29
2019-08-03,30
2019-08-04,26
2019-08-05,32
2019-08-06,28
2019-08-07,30
2019-08-08,23
2019-08-09,20
2019-08-10,29
2019-08-11,31
2019-08-12,25
2019-08-13,36
2019-08-14,16
2019-08-15,26
2019-08-16,32
2019-08-17,33
2019-08-18,32
2019-08-19,35
2019-08-20,44
2019-08-21,29
2019-08-22,24
2019-08-23,31
2019-08-24,17
2019-08-25,31
2019-08-26,37
2019-08-27,23
2019-08-28,37
2019-08-29,25
2019-08-30,17
2019-08-31,16
2019-09-01,21
2019-09-02,28
2019-09-03,38
2019-09-04,31
2019-09-05,26
2019-09-06,23
2019-09-07,32
2019-09-08,27
2019-09-09,25
2019-09-10,32
2019-09-11,21
2019-09-12,27
2019-09-13,20
2019-09-14,25
2019-09-15,34
2019-09-16,26
2019-09-17,45
2019-09-18,48
2019-09-19,15
2019-09-20,27
2019-09-21,19
2019-09-22,23
2019-09-23,24
2019-09-24,36
2019-09-25,31
2019-09-26,35
2019-09-27,25
2019-09-28,23
2019-09-29,29
2019-09-30,32
2019-10-01,29
2019-10-02,33
2019-10-03,25
2019-10-04,25
2019-10-05,31
2019-10-06,34
2019-10-07,35
2019-10-08,32
2019-10-09,25
2019-10-10,31
2019-10-11,22
2019-10-12,34
2019-10-13,27
2019-10-14,24
2019-10-15,34
2019-10-16,45
2019-10-17,23
2019-10-18,18
2019-10-19,34
2019-10-20,32
2019-10-21,52
2019-10-22,28
2019-10-23,15
2019-10-24,28
2019-10-25,35
2019-10-26,24
2019-10-27,35
2019-10-28,29
2019-10-29,29
2019-10-30,36
2019-10-31,30
2019-11-01,30
2019-11-02,28
2019-11-03,24
2019-11-04,30
2019-11-05,18
2019-11-06,23
2019-11-07,34
2019-11-08,30
2019-11-09,33
2019-11-10,19
2019-11-11,28
2019-11-12,31
2019-11-13,28
2019-11-14,18
2019-11-15,26
2019-11-16,28
2019-11-17,25
2019-11-18,22
2019-11-19,42
2019-11-20,21
2019-11-21,25
2019-11-22,23
2019-11-23,24
2019-11-24,27
2019-11-25,31
2019-11-26,31
2019-11-27,28
2019-11-28,20
2019-11-29,31
2019-11-30,23
2019-12-01,28
2019-12-02,20
2019-12-03,30
2019-12-04,21
2019-12-05,31
2019-12-06,21
2019-12-07,24
2019-12-08,26
2019-12-09,36
2019-12-10,15
2019-12-11,26
2019-12-12,29
2019-12-13,32
2019-12-14,26
2019-12-15,31
2019-12-16,37
2019-12-17,31
2019-12-18,18
2019-12-19,19
2019-12-20,18
2019-12-21,26
2019-12-22,23
2019-12-23,28
2019-12-24,23
2019-12-25,26
2019-12-26,26
2019-12-27,24
2019-12-28,24
2019-12-29,31
2019-12-30,34
2019-12-31,23
2020-01-01,121
2020-01-02,104
2020-01-03,99
2020-01-04,98
2020-01-05,97
2020-01-06,103
2020-01-07,87
2020-01-08,93
2020-01-09,95
2020-01-10,100
2020-01-11,91
2020-01-12,79
2020-01-13,92
2020-01-14,93
2020-01-15,91
2020-01-16,96
2020-01-17,91
2020-01-18,110
2020-01-19,68
2020-01-20,125
2020-01-21,97
2020-01-22,94
2020-01-23,101
2020-01-24,83
2020-01-25,99
2020-01-26,83
2020-01-27,87
2020-01-28,85
2020-01-29,96
2020-01-30,88
2020-01-31,118
2020-02-01,114
2020-02-02,95
2020-02-03,79
2020-02-04,109
2020-02-05,74
2020-02-06,92
2020-02-07,122
2020-02-08,109
2020-02-09,108
2020-02-10,116
2020-02-11,113
2020-02-12,90
2020-02-13,111
2020-02-14,117
2020-02-15,107
2020-02-16,99
2020-02-17,116
2020-02-18,134
2020-02-19,100
2020-02-20,103
2020-02-21,113
2020-02-22,128
2020-02-23,91
2020-02-24,89
2020-02-25,116
2020-02-26,106
2020-02-27,122
2020-02-28,99
2020-02-29,130
2020-03-01,87
2020-03-02,104
2020-03-03,111
2020-03-04,110
2020-03-05,121
2020-03-06,110
2020-03-07,99
2020-03-08,97
2020-03-09,96
2020-03-10,104
2020-03-11,104
2020-03-12,100
2020-03-13,110
2020-03-14,90
2020-03-15,76
2020-03-16,92
2020-03-17,123
2020-03-18,113
2020-03-19,107
2020-03-20,114
2020-03-21,91
2020-03-22,77
2020-03-23,76
2020-03-24,85
2020-03-25,85
2020-03-26,73
2020-03-27,108
2020-03-28,82
2020-03-29,70
2020-03-30,78
2020-03-31,85
2020-04-01,101
2020-04-02,81
2020-04-03,104
2020-04-04,67
2020-04-05,74
2020-04-06,77
2020-04-07,102
2020-04-08,84
2020-04-09,59
2020-04-10,74
2020-04-11,78
2020-04-12,59
2020-04-13,89
2020-04-14,85
2020-04-15,75
2020-04-16,62
2020-04-17,93
2020-04-18,77
2020-04-19,61
2020-04-20,62
2020-04-21,104
2020-04-22,101
2020-04-23,77
2020-04-24,80
2020-04-25,62
2020-04-26,70
2020-04-27,77
2020-04-28,80
2020-04-29,66
2020-04-30,52
2020-05-01,60
2020-05-02,76
2020-05-03,51
2020-05-04,69
2020-05-05,76
2020-05-06,66
2020-05-07,74
2020-05-08,67
2020-05-09,75
2020-05-10,56
2020-05-11,61
2020-05-12,70
2020-05-13,75
2020-05-14,147
2020-05-15,76
2020-05-16,61
2020-05-17,64
2020-05-18,79
2020-05-19,89
2020-05-20,64
2020-05-21,92
2020-05-22,86
2020-05-23,68
2020-05-24,71
2020-05-25,74
2020-05-26,76
2020-05-27,71
2020-05-28,70
2020-05-29,81
2020-05-30,95
2020-05-31,66
2020-06-01,64
2020-06-02,70
2020-06-03,61
2020-06-04,76
2020-06-05,96
2020-06-06,83
2020-06-07,67
2020-06-08,96
2020-06-09,70
2020-06-10,93
2020-06-11,80
2020-06-12,86
2020-06-13,81
2020-06-14,58
2020-06-15,67
2020-06-16,59
2020-06-17,81
2020-06-18,73
2020-06-19,81
2020-06-20,77
2020-06-21,60
2020-06-22,86
2020-06-23,134
2020-06-24,83
2020-06-25,77
2020-06-26,88
2020-06-27,61
2020-06-28,67
2020-06-29,61
2020-06-30,95
2020-07-01,107
2020-07-02,76
2020-07-03,61
2020-07-04,87
2020-07-05,58
2020-07-06,67
2020-07-07,63
2020-07-08,87
2020-07-09,75
2020-07-10,88
2020-07-11,75
2020-07-12,53
2020-07-13,92
2020-07-14,71
2020-07-15,81
2020-07-16,84
2020-07-17,91
2020-07-18,74
2020-07-19,67
2020-07-20,89
2020-07-21,90
2020-07-22,92
2020-07-23,91
2020-07-24,105
2020-07-25,91
2020-07-26,75
2020-07-27,82
2020-07-28,66
2020-07-29,93
2020-07-30,90
2020-07-31,74
2020-08-01,92
2020-08-02,78
2020-08-03,88
2020-08-04,83
2020-08-05,100
2020-08-06,92
2020-08-07,89
2020-08-08,80
2020-08-09,72
2020-08-10,88
2020-08-11,84
2020-08-12,103
2020-08-13,103
2020-08-14,89
2020-08-15,83
2020-08-16,85
2020-08-17,83
2020-08-18,85
2020-08-19,96
2020-08-20,74
2020-08-21,102
2020-08-22,101
2020-08-23,77
2020-08-24,91
2020-08-25,88
2020-08-26,67
2020-08-27,73
2020-08-28,88
2020-08-29,91
2020-08-30,82
2020-08-31,101
2020-09-01,93
2020-09-02,103
2020-09-03,99
2020-09-04,104
2020-09-05,90
2020-09-06,69
2020-09-07,121
2020-09-08,84
2020-09-09,87
2020-09-10,81
2020-09-11,110
2020-09-12,105
2020-09-13,100
2020-09-14,93
2020-09-15,82
2020-09-16,73
2020-09-17,75
2020-09-18,92
2020-09-19,83
2020-09-20,88
2020-09-21,99
2020-09-22,85
2020-09-23,89
2020-09-24,93
2020-09-25,87
2020-09-26,91
2020-09-27,74
2020-09-28,80
2020-09-29,80
2020-09-30,100
2020-10-01,83
2020-10-02,88
2020-10-03,63
2020-10-04,66
2020-10-05,82
2020-10-06,76
2020-10-07,76
2020-10-08,87
2020-10-09,93
2020-10-10,76
2020-10-11,65
2020-10-12,75
2020-10-13,88
2020-10-14,104
2020-10-15,102
2020-10-16,95
2020-10-17,107
2020-10-18,79
2020-10-19,74
2020-10-20,94
2020-10-21,111
2020-10-22,93
2020-10-23,79
2020-10-24,83
2020-10-25,70
2020-10-26,107
2020-10-27,84
2020-10-28,96
2020-10-29,115
2020-10-30,103
2020-10-31,88
2020-11-01,76
2020-11-02,72
2020-11-03,94
2020-11-04,87
2020-11-05,86
2020-11-06,111
2020-11-07,70
2020-11-08,81
2020-11-09,90
2020-11-10,101
2020-11-11,98
2020-11-12,109
2020-11-13,105
2020-11-14,102
2020-11-15,83
2020-11-16,66
2020-11-17,90
2020-11-18,93
2020-11-19,85
2020-11-20,97
2020-11-21,72
2020-11-22,87
2020-11-23,101
2020-11-24,109
2020-11-25,78
2020-11-26,106
2020-11-27,88
2020-11-28,90
2020-11-29,77
2020-11-30,84
2020-12-01,96
2020-12-02,83
2020-12-03,100
2020-12-04,116
2020-12-05,82
2020-12-06,96
2020-12-07,104
2020-12-08,116
2020-12-09,78
2020-12-10,89
2020-12-11,94
2020-12-12,96
2020-12-13,58
2020-12-14,91
2020-12-15,84
2020-12-16,108
2020-12-17,87
2020-12-18,85
2020-12-19,131
2020-12-20,86
2020-12-21,111
2020-12-22,91
2020-12-23,86
2020-12-24,84
2020-12-25,82
2020-12-26,56
2020-12-27,81
2020-12-28,84
2020-12-29,79
2020-12-30,86
2020-12-31,71
2021-01-01,66
2021-01-02,67
2021-01-03,81
2021-01-04,90
2021-01-05,94
2021-01-06,82
2021-01-07,85
2021-01-08,83
2021-01-09,69
